order,target,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
62,62,25-02-27 2206,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6103462,Y-TSCT-2A2503.3,2A2503.3,Y-TSCT-Q03,2AA25,R322,T-TJCA9138-1 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,27290,V-AILK_009-510704,2A,25,3,3,V-AILK_009,51,7,4,7
63,63,25-02-27 2208,UNIT_YARD_MOVE,LOAD,EXPRT,MSBU1228765,Y-TSCT-2A2504.2,2A2504.2,Y-TSCT-Q03,2AA25,R322,T-TJCK2870-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,26100,V-AILK_009-490304,2A,25,4,2,V-AILK_009,49,3,4,7
64,64,25-02-27 2211,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3677239,Y-TSCT-2A2504.1,2A2504.1,Y-TSCT-Q03,2AA25,R322,T-TJCB2521-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,27160,V-AILK_009-510304,2A,25,4,1,V-AILK_009,51,3,4,7
65,65,25-02-27 2220,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU2232129,Y-TSCT-2A2503.2,2A2503.2,Y-TSCT-Q03,2AA25,R322,T-TJCE2896-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,26716,V-AILK_009-490004,2A,25,3,2,V-AILK_009,49,0,4,7
66,66,25-02-27 2222,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU1558276,Y-TSCT-2A2503.1,2A2503.1,Y-TSCT-Q03,2AA25,R322,T-TJC79652-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,24870,V-AILK_009-510004,2A,25,3,1,V-AILK_009,51,0,4,7
67,67,25-02-27 2227,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU2632803,Y-TSCT-2A2507.4,2A2507.4,Y-TSCT-Q03,2AA25,R322,T-TJCB1631-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,29310,V-AILK_009-490404,2A,25,7,4,V-AILK_009,49,4,4,7
68,68,25-02-27 2229,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU3438349,Y-TSCT-2A2507.3,2A2507.3,Y-TSCT-Q03,2AA25,R322,T-TJCA5563-1 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,30480,V-AILK_009-510404,2A,25,7,3,V-AILK_009,51,4,4,7
69,69,25-02-27 2238,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU2387565,Y-TSCT-2A2507.2,2A2507.2,Y-TSCT-Q03,2AA25,R322,T-TJCK2095-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,30332,V-AILK_009-490804,2A,25,7,2,V-AILK_009,49,8,4,7
70,70,25-02-27 2240,UNIT_YARD_MOVE,LOAD,EXPRT,MSBU1214099,Y-TSCT-2A2507.1,2A2507.1,Y-TSCT-Q03,2AA25,R322,T-TJCA3611-1 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,30212,V-AILK_009-510804,2A,25,7,1,V-AILK_009,51,8,4,7
71,71,25-02-27 2242,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU1195571,Y-TSCT-2A2510.5,2A2510.5,Y-TSCT-Q03,2AA25,R322,T-TJCF1997-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,26160,V-AILK_009-490906,2A,25,10,5,V-AILK_009,49,9,6,7
72,72,25-02-27 2243,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6786190,Y-TSCT-2A2509.5,2A2509.5,Y-TSCT-Q03,2AA25,R322,T-TJAW1738-3 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,22198,V-AILK_009-510906,2A,25,9,5,V-AILK_009,51,9,6,7
73,73,25-02-27 2246,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU3821038,Y-TSCT-2A2511.4,2A2511.4,Y-TSCT-Q03,2AA25,R322,T-TJCC2820-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,26260,V-AILK_009-490506,2A,25,11,4,V-AILK_009,49,5,6,7
